id,titulo,sala,fecha,hora,edad,vestimenta,direccion,link_compra_rrpp,imagen,descripcion
https://www.fourvenues.com/es/nextplan/events/YT7F,CANDELA,SAINT CLUB,2026-07-19,00:00,+18,Smart / Arreglado,"Calle Velázquez, 64, Salamanca, 28001 Madrid, España",https://www.fourvenues.com/es/nextplan/events/YT7F,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/57b3bfab-e9bd-486c-9673-79f0df396c00/w=1350,"No te pierdas CANDELA en SAINT CLUB. Vive una noche épica este Sáb, 18 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/DL5S,SATURDAY'S at Tiffany's The Club,Tiffany's The Club,2026-07-19,00:00,+18,Smart / Arreglado,"Av. del Dr. Arce, 10, 28002 Madrid, España",https://www.fourvenues.com/es/nextplan/events/DL5S,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/8fa68e05-2713-46aa-4def-e990038c8700/w=1350,"No te pierdas SATURDAY'S at Tiffany's The Club en TIFFANY'S THE CLUB. Vive una noche épica este Sáb, 18 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/CDNA,Sábado VANDIDO - Summer Edition,Vandido,2026-07-19,00:00,+18,Smart / Arreglado,"Calle de Goya, 79, 28001 Madrid (Madrid), España",https://www.fourvenues.com/es/nextplan/events/CDNA,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/10141bad-0388-4b81-9cc4-90af144c9800/w=1350,"No te pierdas Sábado VANDIDO - Summer Edition en VANDIDO. Vive una noche épica este Sáb, 18 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/8M8E,CHAMÁN SÁBADO,CHAMÁN BOILER CLUB,2026-07-19,00:00,+18,Smart / Arreglado,"C. del Poeta Joan Maragall, 1, 28020 Madrid, España",https://www.fourvenues.com/es/nextplan/events/8M8E,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/6623341e-7cf3-46c3-705b-de59a606c900/w=1350,"No te pierdas CHAMÁN SÁBADO en CHAMÁN. Vive una noche épica este Sáb, 18 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/NNIO,SÁBADO 18 JULIO EVENTO PRIVADO,DISCOTECA CATS,2026-07-19,00:00,+18,Smart / Arreglado,"Calle Julián Romea, 4, 28003 Madrid (Madrid), España",https://www.fourvenues.com/es/nextplan/events/NNIO,https://d72sklgi05fbu.cloudfront.net/images/events/cover/Flfwej2ct017e018tffsm0nc7GEzRBAs.jpeg?versionId=F0a_.AOK4HBSP5Ad7OuGu4KX5EWlUHyE,"No te pierdas SÁBADO 18 JULIO EVENTO PRIVADO en CATS MADRID. Vive una noche épica este Sáb, 18 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/JS3A,PEPPE CITARELLA x FITZ,Fitz Club,2026-07-19,00:00,+18,Smart / Arreglado,"C. de la Princesa, 1, 28008 Madrid, España",https://www.fourvenues.com/es/nextplan/events/JS3A,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/a622990c-82d4-4d21-ab94-6f378fc7f500/w=1350,"No te pierdas PEPPE CITARELLA x FITZ en Fitz Madrid. Vive una noche épica este Sáb, 18 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/8PLS,WHITE PARTY  +595,Cristo Social Club ,2026-07-19,00:00,+18,Smart / Arreglado,"Calle de Juan Bravo, 35, Salamanca, 28006 Madrid, España",https://www.fourvenues.com/es/nextplan/events/8PLS,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/7853c03c-06b5-4f87-6c08-a781ef01ec00/w=1350,"No te pierdas WHITE PARTY  +595 en CrisTo Social Club. Vive una noche épica este Sáb, 18 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/W3UB,SABADO MON - COPAS A 2€ - MOCOLOCO,Sala Mon,2026-07-19,00:00,+18,Smart / Arreglado,"C. de Hilarión Eslava, 36, 28015 Madrid, España",https://www.fourvenues.com/es/nextplan/events/W3UB,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/b403a7c8-61a2-4985-8666-7d6c8b7ca700/w=1350,"No te pierdas SABADO MON - COPAS A 2€ - MOCOLOCO en Sala MON. Vive una noche épica este Sáb, 18 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/LAL2,PERREOLAB X SINAKA,Teatro Magno,2026-07-19,00:00,+18,Smart / Arreglado,"Calle de Cedaceros, 7, 28014 Madrid (Madrid), España",https://www.fourvenues.com/es/nextplan/events/LAL2,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/3883abdc-6665-4ce3-95d1-d82173c3fc00/w=1350,"No te pierdas PERREOLAB X SINAKA en Teatro Magno. Vive una noche épica este Sáb, 18 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/NPTI,CALLE 365 by MADRID  NO DESCANSA,CALLE 365,2026-07-19,18:00,+18,Smart / Arreglado,"Calle de Echegaray, 18, Centro, 28005 Madrid, España",https://www.fourvenues.com/es/nextplan/events/NPTI,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/7b61b30d-046a-4c56-9eea-8b544df18200/w=1350,"No te pierdas CALLE 365 by MADRID  NO DESCANSA en MADRID NO DESCANSA. Vive una noche épica este Dom, 19 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
https://www.fourvenues.com/es/nextplan/events/1CKT,WATCHING PARTY: ESPAÑA VS. ARGENTINA,Green Castellana,2026-07-19,18:00,+18,Smart / Arreglado,"Paseo de la Castellana, 40, 28046 Madrid (Madrid), España",https://www.fourvenues.com/es/nextplan/events/1CKT,https://fourvenues.com/cdn-cgi/imagedelivery/kWuoTchaMsk7Xnc_FNem7A/609dffb0-6caf-46c8-e467-de298e47d300/w=1350,"No te pierdas WATCHING PARTY: ESPAÑA VS. ARGENTINA en Green Social Club. Vive una noche épica este Dom, 19 jul en Madrid. Entradas limitadas y reservados VIP disponibles. ¡Compra aquí tus tickets oficiales!"
